# nu(cm-1)   I
      457   0.06401
      458   0.06427
      459   0.06455
      460   0.06462
      461   0.06442
      462   0.06396
      463   0.06355
      464   0.06375
      465   0.06439
      466   0.06391
      467   0.06448
      468   0.06456
      469   0.06401
      470   0.06377
      471   0.06435
      472   0.06477
      473   0.06479
      474   0.06438
      475   0.06333
      476   0.06317
      477   0.06385
      478   0.06465
      479   0.06476
      480   0.06469
      481   0.06449
      482   0.06410
      483   0.06390
      484   0.06351
      485   0.06318
      486   0.06336
      487   0.06373
      488   0.06371
      489   0.06349
      490   0.06334
      491   0.06407
      492   0.06423
      493   0.06396
      494   0.06346
      495   0.06367
      496   0.06390
      497   0.06379
      498   0.06307
      499   0.06306
      500   0.06270
      501   0.06242
      502   0.06249
      503   0.06259
      504   0.06282
      505   0.06297
      506   0.06293
      507   0.06281
      508   0.06233
      509   0.06229
      510   0.06270
      511   0.06194
      512   0.06196
      513   0.06223
      514   0.06244
      515   0.06185
      516   0.06212
      517   0.06212
      518   0.06184
      519   0.06195
      520   0.06163
      521   0.06157
      522   0.06170
      523   0.06167
      524   0.06154
      525   0.06163
      526   0.06173
      527   0.06139
      528   0.06176
      529   0.06173
      530   0.06147
      531   0.06128
      532   0.06147
      533   0.06176
      534   0.06197
      535   0.06191
      536   0.06120
      537   0.06137
      538   0.06157
      539   0.06124
      540   0.06154
      541   0.06227
      542   0.06235
      543   0.06143
      544   0.06129
      545   0.06161
      546   0.06164
      547   0.06135
      548   0.06206
      549   0.06179
      550   0.06154
      551   0.06151
      552   0.06146
      553   0.06159
      554   0.06151
      555   0.06134
      556   0.06161
      557   0.06124
      558   0.06099
      559   0.06090
      560   0.06084
      561   0.06153
      562   0.06161
      563   0.06121
      564   0.06060
      565   0.06135
      566   0.06138
      567   0.06115
      568   0.06112
      569   0.06152
      570   0.06174
      571   0.06157
      572   0.06097
      573   0.06098
      574   0.06154
      575   0.06190
      576   0.06182
      577   0.06169
      578   0.06148
      579   0.06101
      580   0.06062
      581   0.06163
      582   0.06159
      583   0.06139
      584   0.06123
      585   0.06126
      586   0.06199
      587   0.06214
      588   0.06184
      589   0.06148
      590   0.06149
      591   0.06116
      592   0.06100
      593   0.06151
      594   0.06163
      595   0.06162
      596   0.06146
      597   0.06117
      598   0.06119
      599   0.06092
      600   0.06096
      601   0.06145
      602   0.06160
      603   0.06121
      604   0.06091
      605   0.06094
      606   0.06142
      607   0.06124
      608   0.06099
      609   0.06095
      610   0.06150
      611   0.06103
      612   0.06094
      613   0.06116
      614   0.06144
      615   0.06117
      616   0.06097
      617   0.06096
      618   0.06120
      619   0.06054
      620   0.06061
      621   0.06044
      622   0.05967
      623   0.06036
      624   0.06008
      625   0.06008
      626   0.06056
      627   0.06029
      628   0.06056
      629   0.06054
      630   0.06035
      631   0.06074
      632   0.06059
      633   0.06031
      634   0.06011
      635   0.06028
      636   0.05984
      637   0.06003
      638   0.06028
      639   0.05994
      640   0.06022
      641   0.06016
      642   0.06033
      643   0.06091
      644   0.06025
      645   0.06007
      646   0.06008
      647   0.06013
      648   0.05996
      649   0.06025
      650   0.06024
      651   0.06004
      652   0.06035
      653   0.06059
      654   0.06056
      655   0.06047
      656   0.06072
      657   0.06066
      658   0.06049
      659   0.06013
      660   0.05952
      661   0.05977
      662   0.06018
      663   0.06052
      664   0.06064
      665   0.06030
      666   0.06025
      667   0.06011
      668   0.05992
      669   0.06026
      670   0.05991
      671   0.05991
      672   0.06008
      673   0.05970
      674   0.05963
      675   0.05992
      676   0.06022
      677   0.06015
      678   0.06001
      679   0.05981
      680   0.05973
      681   0.05993
      682   0.06058
      683   0.06019
      684   0.05990
      685   0.06005
      686   0.06013
      687   0.05987
      688   0.05965
      689   0.05969
      690   0.06034
      691   0.05972
      692   0.05940
      693   0.05945
      694   0.05975
      695   0.05968
      696   0.05977
      697   0.05969
      698   0.05926
      699   0.05991
      700   0.05971
      701   0.05948
      702   0.05964
      703   0.06042
      704   0.06026
      705   0.06004
      706   0.05990
      707   0.05969
      708   0.05975
      709   0.05959
      710   0.05945
      711   0.05973
      712   0.06022
      713   0.05990
      714   0.05958
      715   0.05983
      716   0.05945
      717   0.05961
      718   0.05975
      719   0.05968
      720   0.05969
      721   0.05975
      722   0.05962
      723   0.05952
      724   0.06005
      725   0.06034
      726   0.06049
      727   0.06063
      728   0.06094
      729   0.06049
      730   0.06067
      731   0.06094
      732   0.06103
      733   0.06188
      734   0.06171
      735   0.06113
      736   0.06052
      737   0.06043
      738   0.06039
      739   0.05997
      740   0.05944
      741   0.05942
      742   0.05996
      743   0.05997
