# t(min)  I
   0.17   7.8513e-01
   0.33   7.4387e-01
   0.50   6.3850e-01
   0.67   5.8743e-01
   0.83   5.2530e-01
   1.00   4.3702e-01
   1.17   3.9113e-01
   1.33   3.2120e-01
   1.50   2.7531e-01
   1.67   2.4853e-01
   1.83   2.3778e-01
   2.00   2.3302e-01
   2.17   2.1740e-01
   2.33   1.4506e-01
   2.50   1.4990e-01
   2.67   1.1263e-01
   2.83   8.9689e-02
   3.00   9.3964e-02
   3.17   9.5145e-02
   3.33   7.1477e-02
   3.50   6.7040e-02
   3.67   6.0291e-02
   3.83   3.3324e-02
   4.00   3.4610e-02
   4.17   5.4634e-02
   4.33   4.0011e-02
   4.50   6.5052e-02
   4.67   4.7514e-02
   4.83   1.7567e-02
   5.00   5.5390e-02
   5.17   2.5460e-02
   5.33   1.6750e-02
   5.50   -1.5583e-02
   5.67   1.1982e-04
