# t(min)  I
   1.45   7.6000e-01
   2.45   7.6000e-01
   3.45   6.9000e-01
   4.45   7.1000e-01
   5.45   6.6000e-01
   6.45   6.5000e-01
   7.45   6.1000e-01
   8.45   6.3000e-01
   9.45   6.3000e-01
  10.45   6.3000e-01
  11.45   6.3000e-01
  12.45   6.0000e-01
  13.45   6.0000e-01
  14.45   5.9000e-01
  15.45   6.0000e-01
  16.45   5.7000e-01
  17.45   5.8000e-01
  18.45   5.4000e-01
  19.45   5.5000e-01
  20.45   5.3000e-01
  21.45   5.2000e-01
  22.45   5.1000e-01
  23.45   4.7000e-01
  24.45   4.5000e-01
  25.45   4.3000e-01
