# t(min)  I
   0.33   1.6707e+00
   0.67   1.6432e+00
   1.00   1.5970e+00
   1.33   1.5467e+00
   1.67   1.5235e+00
   2.00   1.5115e+00
   2.33   1.4892e+00
   2.67   1.4151e+00
   3.00   1.4174e+00
   3.33   1.3843e+00
   3.67   1.3165e+00
   4.00   1.3175e+00
   4.33   1.2792e+00
   4.67   1.2615e+00
   5.00   1.2628e+00
   5.33   1.1857e+00
   5.67   1.1728e+00
   6.00   1.1453e+00
   6.33   1.1453e+00
   6.67   1.1204e+00
   7.00   1.1022e+00
   7.33   1.0643e+00
   7.67   1.0282e+00
   8.00   1.0290e+00
   8.33   1.0104e+00
   8.67   9.8184e-01
   9.00   9.4947e-01
   9.33   8.7705e-01
   9.67   8.9362e-01
  10.00   8.8911e-01
  10.33   8.5724e-01
  10.67   8.2996e-01
  11.00   8.5351e-01
  11.33   7.9935e-01
  11.67   7.8221e-01
  12.00   7.7354e-01
  12.33   7.5239e-01
  12.67   7.2263e-01
  13.00   6.9711e-01
  13.33   7.1548e-01
  13.67   7.0449e-01
  14.00   6.9413e-01
  14.33   6.7877e-01
  14.67   6.7167e-01
  15.00   6.6180e-01
  15.33   6.5500e-01
  15.67   6.3075e-01
  16.00   6.3101e-01
  16.33   6.0293e-01
  16.67   5.8427e-01
  17.00   5.8818e-01
  17.33   5.9210e-01
  17.67   5.6933e-01
  18.00   5.8122e-01
  18.33   5.6076e-01
  18.67   5.5317e-01
  19.00   5.2801e-01
  19.33   5.0010e-01
  19.67   5.0803e-01
  20.00   5.1235e-01
