# sign      x         y     xt     yt     yu
   1    637.00   0.740892   0.00   0.00   0.00
  -1    649.00  -0.229560   0.00   0.00   0.10
   1    779.00   3.163695   0.00   0.00   0.00
  -1    790.00  -0.292540   5.00   0.00   0.00
  -1    824.00  -0.523527   0.00   0.00   0.00
  -1   1015.00  -0.630603   0.00   0.00   0.05
  -1   1175.00  -0.506076   0.00   0.00   0.00
   1   1235.00   1.794121   0.00   0.00   0.00
  -1   1253.00  -0.618628   0.00   0.00   0.00
   1   1270.00  -0.005551   0.00   0.00   0.00
  -1   1291.00  -1.115186   0.00   0.00   0.00
   1   1317.00  -0.037700   0.00   0.00   0.00
  -1   1339.00  -6.836305  -3.00   0.00   0.00
   1   1353.00   1.144171   0.00   0.00   0.00
  -1   1372.00  -1.038051   0.00   0.00   0.00
   1   1396.00   0.214491   0.00   0.00   0.00
  -1   1409.00  -0.560279  -8.00   0.05   0.05
  -1   1422.00  -2.014502   0.00   0.00   0.00
   1   1446.00   0.554305   0.00   0.00   0.00
  -1   1460.00  -0.723018  -8.00   0.00   0.00
  -1   1476.00  -2.770717   0.00   0.00   0.00
   1   1509.00   0.849096   0.00   0.00   0.00
  -1   1569.00  -1.648612  -5.00   0.00   0.00
   1   1582.00   2.755419   0.00   0.00   0.00
  -1   1593.00   0.683374   0.00   0.00   0.00
   1   1608.00   2.739142   0.00   0.00   0.00
  -1   1622.00  -1.264194   5.00   0.00   0.00
   1   1662.00   1.416118   0.00   0.00   0.00
  -1   1685.00   0.051031   0.00   0.00   0.10
   1   1695.00   0.901454   0.00   0.00   0.00
  -1   1718.00   0.283304   0.00   0.00   0.10
