# sign      x         y     xt     yt     yu
   1    436.00   0.229736   0.00   0.00   0.00
#  -1    536.00  -0.306061   0.00   0.00   0.00
#  -1    613.00  -0.346876  -5.00   0.00   0.00
   1    631.00   0.298182  -8.00   0.00   0.00
  -1    641.00  -0.627282   0.00   0.00   0.00
   1    651.00  -0.008615   8.00   0.00   0.00
#  -1    663.00  -0.203343   8.00   0.00   0.00
   1    712.00   0.477735  -8.00   0.00   0.00
#  -1    724.00   0.110422   0.00   0.00   0.00
#   1    730.00   0.179967   5.00   0.00   0.00
   1    764.00   0.181982   5.00   0.00   0.00
  -1    776.00  -0.505440  -5.00   0.00   0.00
   1    787.00   0.500694  12.00   0.20   0.00
  -1    802.00  -0.306913   5.00   0.00   0.00
   1    824.00   0.057676  10.00   0.20   0.00
  -1    836.00  -0.097928   5.00   0.00   0.00
  -1    912.00  -0.296995   0.00   0.00   0.00
   1    924.00   0.013320   0.00   0.00   0.00
  -1    995.00  -0.365977   0.00   0.00   0.00
   1   1015.00   0.619294   0.00  -0.30   0.00
  -1   1226.00  -2.919403  -5.00   0.00   0.00
   1   1237.00  -1.515432  -5.00   0.00   0.00
  -1   1247.00  -2.766521   5.00   0.00   0.00
   1   1280.00   0.084068   0.00   0.00   0.00
  -1   1309.00  -2.470923  -5.00   0.00   0.00
#   1   1320.00  -1.972723  -5.00   0.00   0.00
  -1   1334.00  -3.979897   0.00  -0.30   0.00
   1   1346.00  -1.424600   0.00   0.00   0.00
  -1   1350.00  -1.536753  13.50   0.50   0.00
   1   1373.00  -0.080215   5.00   0.00   0.00
  -1   1392.00  -1.779859   3.00   0.00   0.00
   1   1421.00  -0.242370  -3.00   0.00   0.00
  -1   1431.00  -0.818467  -3.00   0.00   0.00
   1   1449.00   0.410145   0.00   0.00   0.00
  -1   1464.00  -0.185556  -5.00   0.00   0.00
   1   1470.00   0.020218  10.00   0.50   0.00
  -1   1485.00  -3.583839  -3.00   0.00   0.00
#   1   1497.00  -1.268882  15.00   0.50   0.00
  -1   1508.00  -2.091249   8.00   0.00   0.00
  -1   1554.00  -0.237305  -2.00   0.00   0.00
   1   1569.00   2.043410   0.00   0.00   0.00
  -1   1582.00  -3.888013  -5.00   0.00   0.00
   1   1614.00   4.035062   0.00  -0.30   0.00
  -1   1633.00  -2.966000  10.00   0.30   0.00
   1   1685.00  -0.525876   0.00   0.00   0.00
  -1   1701.00  -1.850702   0.00   0.00   0.00
