# sign      x         y     xt     yt     yu
   1    637.00   0.919144   0.00   0.00   0.00
  -1    648.00  -0.075908   0.00   0.00   0.05
   1    781.00   4.279815  -5.00   0.00   0.00
  -1    824.00  -0.021444   0.00   0.00   0.00
  -1   1018.00  -0.103286   0.00   0.00   0.10
  -1   1174.00  -0.399637   0.00   0.00   0.00
   1   1236.00   4.210931   0.00   0.00   0.00
  -1   1262.00   0.215498   0.00   0.00   0.00
   1   1271.00   0.583641   0.00   0.00   0.00
  -1   1295.00  -0.872084   0.00   0.00   0.05
   1   1318.00  -0.113453   0.00   0.00   0.00
  -1   1338.00  -5.720185   0.00   0.00   0.00
   1   1354.00   0.663237   3.00   0.00   0.00
  -1   1372.00  -0.529411   0.00   0.00   0.00
  -1   1387.00   0.315561   5.00   0.00   0.00
   1   1398.00   0.922429   0.00   0.00   0.00
  -1   1422.00  -1.220472   0.00   0.00   0.00
   1   1449.00   0.979438   0.00   0.00   0.00
  -1   1463.00  -0.420705  -8.00   0.00   0.10
  -1   1476.00  -1.989791   0.00   0.00   0.00
   1   1510.00   0.457424   0.00   0.00   0.00
  -1   1570.00  -1.014968   0.00   0.00   0.00
   1   1583.00   0.965683   3.00   0.00   0.20
  -1   1595.00   0.239205   0.00   0.00   0.00
   1   1610.00   3.322393  -2.00   0.00   0.05
  -1   1641.00   0.515823   0.00   0.00   0.00
   1   1672.00   1.663978   0.00   0.00   0.00
  -1   1687.00   0.821884   0.00   0.00   0.00
   1   1697.00   1.429072   0.00   0.00   0.05
  -1   1720.00   0.124762   0.00   0.00   0.00
