# sign      x         y     xt     yt     yu
#  -1    613.00  -0.297709   0.00   0.00   0.00
   1    633.00   0.711184   0.00   0.00   0.00
  -1    646.00  -0.513645   0.00   0.00   0.00
  -1    731.00  -0.287003  -5.00   0.00   0.00
  -1    760.00  -0.293715   5.00   0.00   0.00
   1    779.00   2.899737   0.00  -0.30   0.00
  -1    826.00  -0.328603   0.00   0.00   0.00
  -1    915.00  -0.137110   0.00   0.00   0.00
   1    926.00   0.125125   0.00   0.00   0.00
  -1   1011.00  -0.369408   0.00   0.00   0.00
   1   1057.00   0.370898   0.00   0.00   0.00
  -1   1118.00  -0.122289   0.00   0.00   0.00
  -1   1175.00  -0.405587   0.00   0.00   0.00
   1   1186.00   0.429031   0.00   0.00   0.00
  -1   1227.00  -1.356762  -5.00   0.00   0.00
   1   1236.00   0.357423   0.00   0.00   0.00
  -1   1252.00  -2.107317   5.00   0.00   0.00
   1   1271.00   0.101439   0.00   0.00   0.00
  -1   1306.00  -1.842095   0.00   0.00   0.00
#   1   1318.00  -1.106781   0.00   0.00   0.00
  -1   1337.00  -8.898036   0.00  -0.30   0.00
   1   1353.00   0.338562  -3.00   0.00   0.00
  -1   1372.00  -0.869402   0.00   0.00   0.00
   1   1379.00  -0.663428   3.00   0.00   0.00
  -1   1407.00  -1.311421  -3.00   0.00   0.00
   1   1410.00  -1.169777   3.00   0.00   0.00
  -1   1423.00  -1.960880  13.00   0.20   0.00
   1   1445.00   0.829069   0.00   0.00   0.00
  -1   1479.00  -3.905797   0.00   0.00   0.00
#   1   1499.00  -0.583151   0.00   0.00   0.00
  -1   1507.00  -0.627534   0.00   0.00   0.00
  -1   1567.00  -0.464438   0.00   0.00   0.00
   1   1611.00   4.105466   0.00  -0.30   0.00
  -1   1630.00  -2.814616   0.00   0.00   0.00
   1   1662.00   0.327620   0.00  -0.40   0.00
  -1   1686.00  -0.876229   0.00   0.00   0.00
#   1   1695.00  -0.581304   5.00   0.00   0.00
  -1   1705.00  -0.866511  15.00   0.50   0.00
