# t(min)  I
   2.17   1.6000e-01
   2.67   1.5000e-01
   3.17   1.3000e-01
   3.67   1.2000e-01
   4.17   1.2000e-01
   4.67   1.1000e-01
   5.17   1.1000e-01
   5.67   1.1000e-01
   6.17   1.0000e-01
   6.67   1.0000e-01
   7.17   1.0000e-01
   7.67   9.0000e-02
   8.17   9.0000e-02
   8.67   9.0000e-02
   9.17   9.0000e-02
   9.67   8.0000e-02
  10.17   9.0000e-02
  10.67   8.0000e-02
  11.17   8.0000e-02
  11.67   8.0000e-02
  12.17   8.0000e-02
  12.67   8.0000e-02
  13.17   9.0000e-02
  13.67   8.0000e-02
  14.17   8.0000e-02
  14.67   8.0000e-02
  15.17   8.0000e-02
  15.67   8.0000e-02
  16.17   7.0000e-02
  16.67   7.0000e-02
  17.17   8.0000e-02
  17.67   7.0000e-02
  18.17   7.0000e-02
  18.67   6.0000e-02
  19.17   6.0000e-02
  19.67   6.0000e-02
  20.17   6.0000e-02
  20.67   6.0000e-02
  21.17   6.0000e-02
  21.67   6.0000e-02
  22.17   5.0000e-02
  22.67   5.0000e-02
  23.17   4.0000e-02
  23.67   5.0000e-02
  24.17   4.0000e-02
  24.67   4.0000e-02
  25.17   4.0000e-02
  25.67   4.0000e-02
  26.17   4.0000e-02
  26.67   4.0000e-02
