# t(min)  I
   1.50   3.5635e-01
   2.00   2.5456e-01
   2.50   1.9846e-01
   3.00   1.5842e-01
   3.50   1.3984e-01
   4.00   1.1095e-01
   4.50   9.4979e-02
   5.00   9.1659e-02
   5.50   7.6045e-02
   6.00   6.2990e-02
   6.50   5.8726e-02
   7.00   4.6277e-02
   7.50   4.1410e-02
   8.00   3.2926e-02
   8.50   2.7110e-02
   9.00   1.8722e-02
   9.50   5.0346e-03
  10.00   2.6272e-03
  10.50   5.2620e-03
  11.00   2.4492e-03
  11.50   7.6323e-03
  12.00   -6.5514e-03
  12.50   -6.4975e-03
  13.00   -7.9702e-03
