# nu(cm-1)        I      fit    const
       650  1.51572  1.51648  1.00000
       651  1.51537  1.51622  1.00000
       652  1.51475  1.51543  1.00000
       653  1.51525  1.51455  1.00000
       654  1.51568  1.51423  1.00000
       655  1.51146  1.51409  1.00000
       656  1.50726  1.51364  1.00000
       657  1.50930  1.51286  1.00000
       658  1.51059  1.51237  1.00000
       659  1.50979  1.51188  1.00000
       660  1.50951  1.51100  1.00000
       661  1.51035  1.50978  1.00000
       662  1.51105  1.50911  1.00000
       663  1.51051  1.50881  1.00000
       664  1.50944  1.50773  1.00000
       665  1.50819  1.50692  1.00000
       666  1.50699  1.50663  1.00000
       667  1.50606  1.50593  1.00000
       668  1.50460  1.50513  1.00000
       669  1.50314  1.50460  1.00000
       670  1.50387  1.50431  1.00000
       671  1.50527  1.50381  1.00000
       672  1.50525  1.50310  1.00000
       673  1.50288  1.50251  1.00000
       674  1.49893  1.50211  1.00000
       675  1.49673  1.50181  1.00000
       676  1.49909  1.50141  1.00000
       677  1.49974  1.50066  1.00000
       678  1.49831  1.50035  1.00000
       679  1.49908  1.50074  1.00000
       680  1.49942  1.50017  1.00000
       681  1.49854  1.49951  1.00000
       682  1.49749  1.49961  1.00000
       683  1.49603  1.49937  1.00000
       684  1.49562  1.49877  1.00000
       685  1.49667  1.49819  1.00000
       686  1.49543  1.49788  1.00000
       687  1.49442  1.49780  1.00000
       688  1.49580  1.49772  1.00000
       689  1.49494  1.49744  1.00000
       690  1.49316  1.49709  1.00000
       691  1.49316  1.49678  1.00000
       692  1.49470  1.49652  1.00000
       693  1.49529  1.49631  1.00000
       694  1.49422  1.49597  1.00000
       695  1.49364  1.49536  1.00000
       696  1.49343  1.49500  1.00000
       697  1.49384  1.49486  1.00000
       698  1.49531  1.49459  1.00000
       699  1.49395  1.49421  1.00000
       700  1.49154  1.49369  1.00000
       701  1.49314  1.49301  1.00000
       702  1.49252  1.49238  1.00000
       703  1.49034  1.49184  1.00000
       704  1.49130  1.49151  1.00000
       705  1.48999  1.49166  1.00000
       706  1.48784  1.49158  1.00000
       707  1.48856  1.49092  1.00000
       708  1.48725  1.49044  1.00000
       709  1.48528  1.48988  1.00000
       710  1.48540  1.48911  1.00000
       711  1.48464  1.48855  1.00000
       712  1.48456  1.48793  1.00000
       713  1.48678  1.48708  1.00000
       714  1.48841  1.48619  1.00000
       715  1.48532  1.48557  1.00000
       716  1.48015  1.48516  1.00000
       717  1.48223  1.48464  1.00000
       718  1.48268  1.48412  1.00000
       719  1.47853  1.48343  1.00000
       720  1.47878  1.48242  1.00000
       721  1.47975  1.48144  1.00000
       722  1.47895  1.48073  1.00000
       723  1.47851  1.48017  1.00000
       724  1.47850  1.47932  1.00000
       725  1.47724  1.47841  1.00000
       726  1.47413  1.47780  1.00000
       727  1.47439  1.47731  1.00000
       728  1.47640  1.47673  1.00000
       729  1.47559  1.47608  1.00000
       730  1.47426  1.47571  1.00000
       731  1.47423  1.47535  1.00000
       732  1.47445  1.47472  1.00000
       733  1.47124  1.47397  1.00000
       734  1.47088  1.47345  1.00000
       735  1.47510  1.47300  1.00000
       736  1.47211  1.47203  1.00000
       737  1.46959  1.47086  1.00000
       738  1.47232  1.46994  1.00000
       739  1.47111  1.46942  1.00000
       740  1.46970  1.46895  1.00000
       741  1.46984  1.46839  1.00000
       742  1.46741  1.46776  1.00000
       743  1.46760  1.46691  1.00000
       744  1.46885  1.46613  1.00000
       745  1.46462  1.46572  1.00000
       746  1.46291  1.46530  1.00000
       747  1.46462  1.46486  1.00000
       748  1.46460  1.46456  1.00000
       749  1.46498  1.46455  1.00000
       750  1.46519  1.46447  1.00000
       751  1.46399  1.46424  1.00000
       752  1.46457  1.46424  1.00000
       753  1.46465  1.46407  1.00000
       754  1.46230  1.46358  1.00000
       755  1.46219  1.46326  1.00000
       756  1.46308  1.46280  1.00000
       757  1.46220  1.46216  1.00000
       758  1.45988  1.46172  1.00000
       759  1.45987  1.46141  1.00000
       760  1.46188  1.46083  1.00000
       761  1.46042  1.45978  1.00000
       762  1.45813  1.45886  1.00000
       763  1.45825  1.45821  1.00000
       764  1.46029  1.45762  1.00000
       765  1.45842  1.45706  1.00000
       766  1.45513  1.45650  1.00000
       767  1.45710  1.45592  1.00000
       768  1.45751  1.45532  1.00000
       769  1.45538  1.45464  1.00000
       770  1.45441  1.45385  1.00000
       771  1.45421  1.45308  1.00000
       772  1.45436  1.45244  1.00000
       773  1.45447  1.45201  1.00000
       774  1.45362  1.45179  1.00000
       775  1.45255  1.45140  1.00000
       776  1.45163  1.45079  1.00000
       777  1.44968  1.45020  1.00000
       778  1.44908  1.44966  1.00000
       779  1.45042  1.44899  1.00000
       780  1.45053  1.44807  1.00000
       781  1.45005  1.44728  1.00000
       782  1.45015  1.44654  1.00000
       783  1.45068  1.44548  1.00000
       784  1.44965  1.44428  1.00000
       785  1.44760  1.44307  1.00000
       786  1.44678  1.44181  1.00000
       787  1.44628  1.44030  1.00000
       788  1.44519  1.43880  1.00000
       789  1.44350  1.43767  1.00000
       790  1.44211  1.43685  1.00000
       791  1.43956  1.43581  1.00000
       792  1.43617  1.43450  1.00000
       793  1.43791  1.43358  1.00000
       794  1.44008  1.43276  1.00000
       795  1.43805  1.43172  1.00000
       796  1.43626  1.43056  1.00000
       797  1.43585  1.42969  1.00000
       798  1.43602  1.42894  1.00000
       799  1.43573  1.42794  1.00000
       800  1.43491  1.42724  1.00000
       801  1.43412  1.42673  1.00000
       802  1.43380  1.42600  1.00000
       803  1.43238  1.42526  1.00000
       804  1.43049  1.42464  1.00000
       805  1.42946  1.42408  1.00000
       806  1.42576  1.42331  1.00000
       807  1.42402  1.42239  1.00000
       808  1.42748  1.42153  1.00000
       809  1.42174  1.42080  1.00000
       810  1.41691  1.41973  1.00000
       811  1.42327  1.41829  1.00000
       812  1.42226  1.41708  1.00000
       813  1.41797  1.41613  1.00000
       814  1.41857  1.41532  1.00000
       815  1.41918  1.41454  1.00000
       816  1.41750  1.41363  1.00000
       817  1.41568  1.41267  1.00000
       818  1.41766  1.41184  1.00000
       819  1.41740  1.41123  1.00000
       820  1.41371  1.41057  1.00000
       821  1.41208  1.40964  1.00000
       822  1.41268  1.40890  1.00000
       823  1.41277  1.40825  1.00000
       824  1.41065  1.40743  1.00000
       825  1.41076  1.40653  1.00000
       826  1.41111  1.40599  1.00000
       827  1.40868  1.40569  1.00000
       828  1.40867  1.40472  1.00000
       829  1.40937  1.40361  1.00000
       830  1.40716  1.40270  1.00000
       831  1.40334  1.40165  1.00000
       832  1.40150  1.40051  1.00000
       833  1.40271  1.39921  1.00000
       834  1.40353  1.39768  1.00000
       835  1.40204  1.39638  1.00000
       836  1.39934  1.39531  1.00000
       837  1.39826  1.39412  1.00000
       838  1.39743  1.39264  1.00000
       839  1.39697  1.39123  1.00000
       840  1.39780  1.39012  1.00000
       841  1.39599  1.38866  1.00000
       842  1.39148  1.38730  1.00000
       843  1.38727  1.38638  1.00000
       844  1.38483  1.38525  1.00000
       845  1.38374  1.38404  1.00000
       846  1.38364  1.38305  1.00000
       847  1.38561  1.38228  1.00000
       848  1.38676  1.38152  1.00000
       849  1.38506  1.38060  1.00000
       850  1.38294  1.37953  1.00000
       851  1.38336  1.37846  1.00000
       852  1.38485  1.37744  1.00000
       853  1.38246  1.37642  1.00000
       854  1.38006  1.37538  1.00000
       855  1.37890  1.37423  1.00000
       856  1.37671  1.37293  1.00000
       857  1.37576  1.37170  1.00000
