# nu(cm-1)        I       SG
       685  1.29304  1.29437
       686  1.28980  1.29331
       687  1.28719  1.29228
       688  1.29077  1.29124
       689  1.28854  1.29023
       690  1.28390  1.28934
       691  1.28390  1.28838
       692  1.28791  1.28713
       693  1.28945  1.28585
       694  1.28665  1.28467
       695  1.28514  1.28352
       696  1.28461  1.28234
       697  1.28566  1.28119
       698  1.28949  1.28026
       699  1.28595  1.27932
       700  1.27968  1.27810
       701  1.28384  1.27700
       702  1.28224  1.27596
       703  1.27655  1.27472
       704  1.27906  1.27346
       705  1.27565  1.27219
       706  1.27005  1.27094
       707  1.27193  1.26989
       708  1.26852  1.26882
       709  1.26338  1.26756
       710  1.26369  1.26628
       711  1.26171  1.26492
       712  1.26150  1.26353
       713  1.26729  1.26214
       714  1.27153  1.26063
       715  1.26349  1.25913
       716  1.25003  1.25770
       717  1.25543  1.25619
       718  1.25661  1.25460
       719  1.24580  1.25305
       720  1.24647  1.25146
       721  1.24898  1.24986
       722  1.24692  1.24823
       723  1.24577  1.24665
       724  1.24574  1.24513
       725  1.24245  1.24345
       726  1.23434  1.24174
       727  1.23504  1.24015
       728  1.24026  1.23862
       729  1.23815  1.23702
       730  1.23469  1.23548
       731  1.23461  1.23409
       732  1.23519  1.23257
       733  1.22683  1.23108
       734  1.22589  1.22981
       735  1.23687  1.22854
       736  1.22909  1.22716
       737  1.22255  1.22588
       738  1.22966  1.22459
       739  1.22650  1.22325
       740  1.22283  1.22204
       741  1.22318  1.22084
       742  1.21686  1.21962
       743  1.21735  1.21848
       744  1.22062  1.21719
       745  1.20960  1.21580
       746  1.20515  1.21445
       747  1.20959  1.21305
       748  1.20954  1.21165
       749  1.21054  1.21045
       750  1.21109  1.20949
       751  1.20795  1.20845
       752  1.20946  1.20715
       753  1.20967  1.20602
       754  1.20355  1.20501
       755  1.20326  1.20383
       756  1.20558  1.20277
       757  1.20329  1.20190
       758  1.19725  1.20084
       759  1.19723  1.19962
       760  1.20247  1.19849
       761  1.19866  1.19735
       762  1.19270  1.19603
       763  1.19302  1.19465
       764  1.19833  1.19338
       765  1.19346  1.19208
       766  1.18490  1.19072
       767  1.19001  1.18934
       768  1.19110  1.18803
       769  1.18554  1.18661
       770  1.18301  1.18516
       771  1.18250  1.18410
       772  1.18290  1.18291
       773  1.18318  1.18133
       774  1.18096  1.18015
       775  1.17817  1.17909
       776  1.17577  1.17752
       777  1.17070  1.17596
       778  1.16914  1.17443
       779  1.17262  1.17280
       780  1.17292  1.17114
       781  1.17166  1.16927
       782  1.17193  1.16732
       783  1.17330  1.16527
       784  1.17064  1.16317
       785  1.16529  1.16124
       786  1.16315  1.15933
       787  1.16185  1.15726
       788  1.15901  1.15517
       789  1.15462  1.15315
       790  1.15100  1.15093
       791  1.14435  1.14865
       792  1.13554  1.14650
       793  1.14006  1.14426
       794  1.14572  1.14182
       795  1.14042  1.13946
       796  1.13576  1.13737
       797  1.13471  1.13524
       798  1.13513  1.13287
       799  1.13440  1.13041
       800  1.13225  1.12811
       801  1.13018  1.12584
       802  1.12935  1.12338
       803  1.12566  1.12103
       804  1.12073  1.11868
       805  1.11805  1.11615
       806  1.10843  1.11363
       807  1.10390  1.11130
       808  1.11290  1.10914
       809  1.09795  1.10704
       810  1.08538  1.10488
       811  1.10195  1.10258
       812  1.09931  1.10007
       813  1.08815  1.09734
       814  1.08970  1.09462
       815  1.09131  1.09205
       816  1.08692  1.08944
       817  1.08218  1.08671
       818  1.08734  1.08412
       819  1.08667  1.08168
       820  1.07705  1.07926
       821  1.07282  1.07683
       822  1.07439  1.07439
       823  1.07461  1.07199
       824  1.06909  1.06971
       825  1.06937  1.06732
       826  1.07030  1.06485
       827  1.06396  1.06246
       828  1.06395  1.05975
       829  1.06575  1.05696
       830  1.06001  1.05434
       831  1.05006  1.05169
       832  1.04528  1.04899
       833  1.04841  1.04630
       834  1.05057  1.04359
       835  1.04668  1.04081
       836  1.03963  1.03798
       837  1.03683  1.03519
       838  1.03467  1.03262
       839  1.03348  1.03010
       840  1.03563  1.02738
       841  1.03091  1.02464
       842  1.01918  1.02177
       843  1.00822  1.01873
       844  1.00187  1.01593
       845  0.99903  1.01292
       846  0.99877  1.00964
       847  1.00390  1.00661
       848  1.00688  1.00345
       849  1.00247  1.00011
       850  0.99695  0.99690
       851  0.99806  0.99376
       852  1.00192  0.99052
       853  0.99571  0.98735
       854  0.98945  0.98439
       855  0.98643  0.98141
       856  0.98073  0.97824
       857  0.97825  0.97510
       858  0.97455  0.97204
       859  0.96435  0.96896
       860  0.96352  0.96590
       861  0.96146  0.96299
       862  0.94876  0.96010
       863  0.95065  0.95722
       864  0.95649  0.95451
       865  0.95222  0.95200
       866  0.94736  0.94946
       867  0.94303  0.94664
       868  0.93949  0.94368
       869  0.93975  0.94099
       870  0.94150  0.93845
       871  0.94166  0.93584
       872  0.93766  0.93323
       873  0.92697  0.93064
       874  0.91921  0.92807
       875  0.92279  0.92560
       876  0.92031  0.92322
       877  0.91554  0.92085
       878  0.91713  0.91844
       879  0.91397  0.91594
       880  0.90762  0.91324
       881  0.90483  0.91044
       882  0.90779  0.90794
       883  0.91083  0.90557
       884  0.90897  0.90307
       885  0.90329  0.90055
       886  0.90223  0.89812
       887  0.90255  0.89580
       888  0.89454  0.89356
       889  0.89004  0.89141
       890  0.89137  0.88937
       891  0.89124  0.88734
       892  0.88621  0.88528
       893  0.88388  0.88323
       894  0.88722  0.88110
       895  0.88166  0.87876
       896  0.87633  0.87653
       897  0.87773  0.87439
       898  0.87353  0.87197
       899  0.86626  0.86958
       900  0.86038  0.86738
       901  0.85711  0.86520
       902  0.86152  0.86302
       903  0.86521  0.86079
       904  0.85670  0.85848
       905  0.85399  0.85623
       906  0.85569  0.85408
       907  0.85127  0.85199
       908  0.84954  0.84982
       909  0.84840  0.84750
       910  0.84482  0.84511
       911  0.84554  0.84279
       912  0.84417  0.84047
       913  0.83668  0.83815
       914  0.83064  0.83591
       915  0.83345  0.83364
       916  0.83537  0.83118
       917  0.82122  0.82857
       918  0.81974  0.82617
