# t(min)  I
   0.17   4.1222e+00
   0.33   4.1650e+00
   0.50   4.1099e+00
   0.67   4.1379e+00
   0.83   4.0445e+00
   1.00   3.9981e+00
   1.17   3.9441e+00
   1.33   3.8732e+00
   1.50   3.7103e+00
   1.67   3.6706e+00
   1.83   3.6292e+00
   2.00   3.4735e+00
   2.17   3.4083e+00
   2.33   3.2954e+00
   2.50   3.3074e+00
   2.67   3.2584e+00
   2.83   3.2198e+00
   3.00   3.2646e+00
   3.17   3.2598e+00
   3.33   3.2092e+00
   3.50   3.0054e+00
   3.67   2.8575e+00
   3.83   2.8615e+00
   4.00   2.7845e+00
   4.17   2.7222e+00
   4.33   2.6802e+00
   4.50   2.6348e+00
   4.67   2.5162e+00
   4.83   2.5746e+00
   5.00   2.5292e+00
   5.17   2.4275e+00
   5.33   2.3877e+00
   5.50   2.2992e+00
   5.67   2.3013e+00
   5.83   2.2468e+00
   6.00   2.2298e+00
   6.17   2.0587e+00
   6.33   2.0468e+00
   6.50   2.0554e+00
   6.67   1.9477e+00
   6.83   1.9396e+00
   7.00   1.8864e+00
   7.17   1.8019e+00
   7.33   1.7506e+00
   7.50   1.7676e+00
   7.67   1.7354e+00
   7.83   1.7631e+00
   8.00   1.6934e+00
   8.17   1.6640e+00
   8.33   1.6049e+00
   8.50   1.5572e+00
   8.67   1.5680e+00
   8.83   1.5337e+00
   9.00   1.4862e+00
   9.17   1.4383e+00
   9.33   1.3326e+00
   9.50   1.3360e+00
   9.67   1.3897e+00
   9.83   1.3563e+00
  10.00   1.3269e+00
  10.17   1.2459e+00
  10.33   1.1678e+00
  10.50   1.2029e+00
  10.67   1.2641e+00
  10.83   1.2011e+00
  11.00   1.1126e+00
  11.17   1.0904e+00
  11.33   1.0459e+00
  11.50   1.0077e+00
  11.67   1.0337e+00
  11.83   1.0115e+00
  12.00   9.8486e-01
  12.17   9.6428e-01
  12.33   9.2306e-01
  12.50   9.1882e-01
  12.67   9.2949e-01
  12.83   8.8998e-01
  13.00   8.8953e-01
  13.17   8.7504e-01
  13.33   8.6308e-01
  13.50   8.1338e-01
  13.67   8.0296e-01
  13.83   7.9487e-01
  14.00   7.8375e-01
  14.17   7.7229e-01
  14.33   7.5581e-01
  14.50   7.2867e-01
  14.67   7.2028e-01
  14.83   7.6842e-01
  15.00   7.6946e-01
  15.17   7.1148e-01
  15.33   6.8837e-01
  15.50   6.5594e-01
  15.67   6.5160e-01
  15.83   6.7820e-01
  16.00   6.4804e-01
  16.17   6.2757e-01
  16.33   6.4306e-01
  16.50   6.0556e-01
  16.67   5.9346e-01
  16.83   5.9768e-01
  17.00   6.1269e-01
  17.17   5.9503e-01
  17.33   5.6439e-01
  17.50   5.5833e-01
  17.67   5.4688e-01
  17.83   5.6379e-01
  18.00   5.4223e-01
  18.17   5.1173e-01
  18.33   4.8997e-01
  18.50   4.9116e-01
  18.67   4.8984e-01
  18.83   4.8922e-01
  19.00   4.7437e-01
  19.17   4.8162e-01
  19.33   4.5162e-01
  19.50   4.4593e-01
  19.67   4.5240e-01
  19.83   4.2785e-01
  20.00   4.2458e-01
